,Workload,Algorithm,r,Mean (Std)
449,QF_NRA_hong_9.smt2,DLiSA-0.3,3,3.181 (0.003)
450,QF_RDL_orb08_888.smt2,FEMOSAA,1,6.795 (0.232)
451,QF_RDL_orb08_888.smt2,Seed-EA,1,6.822 (0.233)
452,QF_RDL_orb08_888.smt2,D-SOGA,1,6.84 (0.241)
453,QF_RDL_orb08_888.smt2,LiDOS,1,6.845 (0.265)
454,QF_RDL_orb08_888.smt2,DLiSA-0.3,1,6.816 (0.236)
455,QF_UFLIA_xs_23_43.smt2,FEMOSAA,1,8.248 (1.047)
456,QF_UFLIA_xs_23_43.smt2,Seed-EA,2,8.41 (1.719)
457,QF_UFLIA_xs_23_43.smt2,D-SOGA,1,8.232 (1.282)
458,QF_UFLIA_xs_23_43.smt2,LiDOS,1,8.327 (1.378)
459,QF_UFLIA_xs_23_43.smt2,DLiSA-0.3,1,7.948 (0.654)
460,QF_UF_PEQ018_size6.smt2,FEMOSAA,3,3.989 (0.344)
461,QF_UF_PEQ018_size6.smt2,Seed-EA,2,3.89 (0.063)
462,QF_UF_PEQ018_size6.smt2,D-SOGA,2,3.898 (0.15)
463,QF_UF_PEQ018_size6.smt2,LiDOS,2,3.897 (0.148)
464,QF_UF_PEQ018_size6.smt2,DLiSA-0.3,1,3.878 (0.009)
